Date,Open,High,Low,Close,Adj Close,Volume
2022-10-25,581.750000,581.750000,567.500000,574.900024,574.143799,1469741
2022-10-27,576.500000,583.250000,575.950012,580.849976,580.085938,1156810
2022-10-28,580.400024,583.200012,571.549988,574.099976,573.344788,1169510
2022-10-31,579.849976,590.200012,577.150024,589.549988,588.774475,1170001
2022-11-01,593.950012,616.599976,592.000000,613.599976,612.792847,3250869
2022-11-02,614.000000,621.750000,610.400024,616.599976,615.788879,1398819
2022-11-03,614.799988,618.799988,611.049988,614.599976,613.791504,1134976
2022-11-04,613.000000,619.900024,611.799988,616.349976,615.539246,805042
2022-11-07,619.450012,621.750000,613.799988,616.349976,615.539246,1166056
2022-11-09,619.299988,647.599976,616.000000,642.549988,641.704773,3550281
2022-11-10,639.500000,643.000000,620.150024,628.400024,627.573425,1549410
2022-11-11,635.000000,655.000000,620.950012,623.549988,622.729736,1519531
2022-11-14,625.900024,640.500000,622.000000,636.150024,635.313232,1086235
2022-11-15,636.900024,638.849976,632.000000,633.900024,633.066162,977826
2022-11-16,632.000000,632.900024,622.000000,624.799988,623.978088,1791280
2022-11-17,621.799988,621.799988,605.500000,610.900024,610.096436,1431167
2022-11-18,614.000000,618.599976,605.900024,612.200012,611.394714,857461
2022-11-21,612.000000,622.000000,609.200012,615.049988,614.240967,791310
2022-11-22,618.150024,621.299988,610.150024,617.750000,616.937378,613966
2022-11-23,620.799988,627.000000,615.349976,623.900024,623.079346,827880
2022-11-24,625.000000,638.549988,622.000000,636.349976,635.512939,1089860
2022-11-25,636.000000,640.000000,628.500000,637.750000,636.911072,1083395
2022-11-28,629.700012,644.750000,629.700012,638.750000,637.909790,945254
2022-11-29,639.000000,641.900024,625.849976,627.349976,626.524780,791869
2022-11-30,628.000000,644.849976,627.650024,639.299988,638.459045,2604030
2022-12-01,642.000000,649.299988,637.299988,639.200012,638.359192,1264166
2022-12-02,637.900024,649.950012,630.200012,648.349976,647.497131,2011522
2022-12-05,650.000000,656.000000,646.250000,651.150024,650.293518,1406695
2022-12-06,650.000000,653.849976,647.000000,649.099976,648.246155,1401494
2022-12-07,648.849976,675.599976,648.750000,671.650024,670.766541,3280365
2022-12-08,676.450012,679.549988,670.000000,672.950012,672.064819,2015490
2022-12-09,673.450012,694.700012,673.099976,682.150024,681.252686,2788592
2022-12-12,687.000000,689.900024,670.849976,677.349976,676.458984,1289020
2022-12-13,679.450012,679.450012,662.000000,664.049988,663.176514,1426088
2022-12-14,667.000000,674.500000,665.000000,672.150024,671.265869,790701
2022-12-15,672.150024,676.000000,664.099976,669.000000,668.119995,869684
2022-12-16,660.000000,676.000000,660.000000,667.049988,666.172546,1692206
2022-12-19,669.849976,679.150024,664.900024,670.599976,669.717834,867270
2022-12-20,667.250000,684.400024,667.250000,676.400024,675.510254,1910526
2022-12-21,681.950012,682.000000,663.799988,670.099976,669.218506,1296136
2022-12-22,671.000000,675.799988,661.599976,671.500000,670.616699,1375529
2022-12-23,661.500000,670.000000,642.000000,644.299988,643.452454,2087464
2022-12-26,641.000000,663.099976,637.700012,655.049988,654.188354,705455
2022-12-27,660.000000,665.400024,653.000000,663.349976,662.477417,896071
2022-12-28,662.950012,667.200012,657.900024,663.200012,662.327637,391805
2022-12-29,662.799988,670.000000,656.150024,665.400024,664.524719,2650477
2022-12-30,665.400024,672.000000,649.099976,654.450012,653.589111,1010912
2023-01-02,656.900024,661.250000,654.000000,657.000000,656.135742,1586054
2023-01-03,658.950012,663.900024,650.000000,651.049988,650.193604,1288812
2023-01-04,652.000000,655.450012,639.000000,641.599976,640.755981,1242852
2023-01-05,641.799988,644.700012,624.150024,636.099976,635.263245,1987570
2023-01-06,635.000000,639.349976,619.450012,625.799988,624.976807,1634322
2023-01-09,635.000000,635.700012,627.000000,633.200012,632.367065,1012950
