Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,700.099976,710.900024,698.799988,705.849976,705.849976,39292
2023-08-16,698.250000,705.049988,696.299988,700.900024,700.900024,18794
2023-08-17,704.950012,707.200012,697.000000,698.400024,698.400024,31056
2023-08-18,698.200012,719.150024,698.200012,711.000000,711.000000,111295
2023-08-21,711.950012,716.650024,705.549988,709.450012,709.450012,18374
2023-08-22,712.000000,729.500000,710.349976,728.299988,728.299988,72735
2023-08-23,733.700012,737.700012,727.950012,729.900024,729.900024,24009
2023-08-24,735.950012,748.799988,729.049988,745.349976,745.349976,36601
2023-08-25,738.000000,751.849976,734.599976,737.549988,737.549988,41834
2023-08-28,736.099976,742.200012,733.900024,737.950012,737.950012,34932
2023-08-29,733.299988,739.549988,729.750000,731.000000,731.000000,9890
2023-08-30,728.049988,742.299988,725.450012,727.650024,727.650024,21973
2023-08-31,728.700012,734.500000,710.400024,722.349976,722.349976,57975
2023-09-01,707.000000,734.000000,707.000000,724.700012,724.700012,28561
2023-09-04,725.000000,728.299988,713.849976,717.200012,717.200012,21995
2023-09-05,716.400024,720.500000,713.650024,714.450012,714.450012,30829
2023-09-06,711.549988,722.500000,711.549988,719.849976,719.849976,18643
2023-09-07,722.549988,727.000000,720.150024,725.099976,725.099976,33039
2023-09-08,726.500000,736.950012,724.250000,734.900024,734.900024,19179
2023-09-11,744.500000,744.500000,732.549988,734.900024,734.900024,52616
2023-09-12,733.450012,739.200012,712.450012,718.450012,718.450012,33755
2023-09-13,716.799988,729.500000,709.549988,724.049988,724.049988,35516
2023-09-14,724.099976,743.700012,724.099976,738.549988,738.549988,71706
2023-09-15,745.950012,745.950012,728.799988,732.900024,732.900024,17619
2023-09-18,733.000000,735.900024,726.049988,728.799988,728.799988,18617
2023-09-20,736.200012,759.000000,726.000000,755.099976,755.099976,93284
2023-09-21,758.799988,763.250000,739.450012,741.799988,741.799988,86065
2023-09-22,748.349976,751.200012,742.799988,743.950012,743.950012,17845
2023-09-25,736.950012,744.750000,733.849976,741.950012,741.950012,14088
2023-09-26,744.000000,752.000000,741.549988,750.099976,750.099976,36996
2023-09-27,749.900024,754.750000,744.549988,745.750000,745.750000,23837
2023-09-28,744.049988,745.750000,716.549988,720.599976,720.599976,67013
2023-09-29,721.150024,730.000000,707.849976,713.400024,713.400024,38928
2023-10-03,713.500000,715.650024,702.099976,703.799988,703.799988,16356
2023-10-04,710.700012,710.700012,687.750000,703.900024,703.900024,36083
2023-10-05,713.950012,716.599976,704.450012,714.500000,714.500000,29996
2023-10-06,722.900024,722.900024,712.500000,713.599976,713.599976,25609
2023-10-09,700.099976,717.250000,700.099976,710.450012,710.450012,27485
2023-10-10,700.049988,718.549988,700.049988,715.849976,715.849976,22638
2023-10-11,721.950012,721.950012,712.049988,716.099976,716.099976,20722
2023-10-12,716.049988,722.750000,715.000000,715.750000,715.750000,21167
2023-10-13,720.950012,720.950012,711.650024,716.400024,716.400024,6883
2023-10-16,716.400024,716.400024,702.900024,709.349976,709.349976,19171
2023-10-17,712.000000,714.400024,705.900024,706.500000,706.500000,18247
2023-10-18,711.849976,711.849976,703.000000,704.349976,704.349976,10790
2023-10-19,703.650024,707.299988,697.700012,705.299988,705.299988,19145
2023-10-20,706.000000,706.599976,698.400024,699.700012,699.700012,293454
2023-10-23,713.700012,713.700012,690.700012,694.049988,694.049988,27948
2023-10-25,699.849976,708.150024,693.549988,706.450012,706.450012,12432
2023-10-26,700.000000,706.000000,684.599976,686.599976,686.599976,44545
2023-10-27,687.750000,699.799988,683.599976,689.750000,689.750000,43948
2023-10-30,689.900024,689.900024,630.900024,666.099976,666.099976,167811
2023-10-31,655.500000,685.000000,655.500000,669.349976,669.349976,98528
2023-11-01,671.200012,674.700012,664.950012,667.950012,667.950012,26805
2023-11-02,678.549988,678.549988,656.599976,666.700012,666.700012,22086
2023-11-03,676.950012,676.950012,665.349976,669.400024,669.400024,19357
2023-11-06,674.950012,680.000000,669.599976,674.099976,674.099976,29710
2023-11-07,676.049988,679.400024,668.500000,669.799988,669.799988,157290
2023-11-08,670.299988,676.599976,666.700012,675.450012,675.450012,13655
2023-11-09,679.650024,699.799988,675.950012,691.849976,691.849976,67175
2023-11-10,690.000000,700.799988,683.400024,699.849976,699.849976,53032
2023-11-13,712.049988,732.299988,704.849976,729.400024,729.400024,373907
2023-11-15,735.150024,740.450012,724.599976,725.950012,725.950012,32406
2023-11-16,734.950012,734.950012,719.099976,729.650024,729.650024,14772
2023-11-17,724.950012,737.000000,720.000000,730.450012,730.450012,36832
